DATE,BTC,EUR,USD
2018-02-18 10:53:40Z,0.08811,750.52,920.76
2018-02-18 10:55:56Z,0.08805,750.86,921.2
2018-02-18 10:58:27Z,0.08805,751.96,923.31
2018-02-18 10:59:08Z,0.08804,752.12,923.48
2018-02-18 10:59:37Z,0.08802,751.97,923.27
2018-02-18 10:59:43Z,0.08802,751.97,923.44
2018-02-18 10:59:48Z,0.08802,751.97,923.44
2018-02-18 10:59:53Z,0.08802,751.98,923.44
2018-02-18 10:59:58Z,0.08802,751.98,923.44
2018-02-18 11:00:03Z,0.08802,752,923.59
2018-02-18 11:00:08Z,0.08802,752,923.59
2018-02-18 11:00:13Z,0.08799,752.17,923.59
2018-02-18 11:00:18Z,0.08799,752.17,923.59
2018-02-18 11:00:24Z,0.08801,750.81,923.82
2018-02-18 11:00:29Z,0.08801,750.81,923.82
2018-02-18 11:00:34Z,0.08805,750.77,923.84
2018-02-18 11:00:39Z,0.08805,750.77,923.84
2018-02-18 11:00:44Z,0.08808,751.69,923.87
2018-02-18 11:00:50Z,0.08808,751.69,923.87
2018-02-18 11:00:55Z,0.08806,752.06,924.12
2018-02-18 11:01:00Z,0.08806,752.06,924.12
2018-02-18 11:01:05Z,0.08805,752.08,924.08
2018-02-18 11:01:10Z,0.08805,752.08,924.08
2018-02-18 11:01:15Z,0.08806,751.67,924.27
2018-02-18 11:01:20Z,0.08806,751.67,924.27
2018-02-18 11:01:25Z,0.08804,752.06,924.55
2018-02-18 11:01:30Z,0.08804,752.06,924.55
2018-02-18 11:01:35Z,0.08806,752.4,924.81
2018-02-18 11:01:40Z,0.08806,752.4,924.81
2018-02-18 11:01:46Z,0.08808,752.45,924.85
2018-02-18 11:01:51Z,0.08808,752.45,924.85
2018-02-18 11:01:56Z,0.08809,752.45,924.89
2018-02-18 11:02:01Z,0.08809,752.45,924.89
2018-02-18 11:02:07Z,0.08809,751.85,922.46
2018-02-18 11:02:12Z,0.08809,751.85,922.46
2018-02-18 11:02:17Z,0.08809,752.67,922.03
2018-02-18 11:02:22Z,0.08809,752.67,922.03
2018-02-18 11:02:27Z,0.08809,752.28,922.25
2018-02-18 11:02:32Z,0.08809,752.28,922.25
2018-02-18 11:02:37Z,0.08809,752.64,922.03
2018-02-18 11:02:42Z,0.08809,752.64,922.03
2018-02-18 11:02:47Z,0.08809,751.12,921.86
2018-02-18 11:02:52Z,0.08809,751.12,921.86
2018-02-18 11:02:57Z,0.08809,751.09,921.7
2018-02-18 11:03:02Z,0.08809,751.09,921.7
2018-02-18 11:03:07Z,0.08809,751.11,921.8
2018-02-18 11:03:12Z,0.08809,751.11,921.8
2018-02-18 11:03:17Z,0.0881,753.31,921.68
2018-02-18 11:03:22Z,0.0881,753.31,921.68
2018-02-18 11:03:28Z,0.08813,753.3,921.87
2018-02-18 11:03:33Z,0.08813,753.3,921.87
2018-02-18 11:03:38Z,0.08814,753.3,921.83
2018-02-18 11:03:43Z,0.08814,753.3,921.83
2018-02-18 11:03:48Z,0.08816,753,922.23
2018-02-18 11:03:53Z,0.08816,753,922.23
2018-02-18 11:03:58Z,0.08817,753,922.24
2018-02-18 11:04:03Z,0.08817,753,922.24
2018-02-18 11:04:08Z,0.08817,753,922.13
2018-02-18 11:04:13Z,0.08817,753,922.13
2018-02-18 11:04:19Z,0.0882,753.26,925.01
2018-02-18 11:04:24Z,0.0882,753.26,925.01
2018-02-18 11:04:29Z,0.08819,753.55,925.34
2018-02-18 11:04:34Z,0.08819,753.55,925.34
2018-02-18 11:04:39Z,0.0882,753.55,924.78
2018-02-18 11:04:45Z,0.0882,753.55,924.78
2018-02-18 11:04:50Z,0.0882,753.55,925.33
2018-02-18 11:04:55Z,0.0882,753.55,925.33
2018-02-18 11:05:00Z,0.0882,753.55,925.05
2018-02-18 11:05:05Z,0.0882,753.55,925.05
2018-02-18 11:05:10Z,0.0882,753.55,925.05
2018-02-18 11:05:15Z,0.0882,753.55,925.05
2018-02-18 11:05:20Z,0.08818,753.27,925.08
2018-02-18 11:05:25Z,0.08818,753.27,925.08
2018-02-18 11:05:31Z,0.08818,753.14,925.68
2018-02-18 11:05:36Z,0.08818,753.14,925.68
2018-02-18 11:05:41Z,0.08818,753.25,925.48
2018-02-18 11:05:46Z,0.08818,753.25,925.48
2018-02-18 11:05:51Z,0.08819,753.25,925.64
2018-02-18 11:05:56Z,0.08819,753.25,925.64
2018-02-18 11:06:01Z,0.08819,754.51,925.65
2018-02-18 11:05:59Z,0.08818,754.51,925.37
2018-02-18 11:31:21Z,0.08818,755.59,927.27
2018-02-18 11:31:32Z,0.08819,755.81,927.27
2018-02-18 11:38:42Z,0.08816,756.1,926.94
2018-02-18 11:39:07Z,0.08816,755.42,927.21
